wl,n,k
0.0309963,0.91664615,0.01046788
0.0310678,0.916203437,0.01054624
0.0311394,0.915758584,0.0106252
0.0312112,0.915311584,0.01070476
0.0312831,0.914862424,0.01078494
0.0313552,0.914411093,0.01086572
0.0314275,0.91395758,0.01094712
0.0315,0.913501873,0.01102915
0.0315726,0.913043958,0.0111118
0.0316453,0.912583827,0.01119508
0.0317183,0.912121465,0.011279
0.0317914,0.911656862,0.01136356
0.0318647,0.911190007,0.01144877
0.0319382,0.910720885,0.01153463
0.0320118,0.910249488,0.01162115
0.0320856,0.9097758,0.01170833
0.0321595,0.909295742,0.01179623
0.0322337,0.908819608,0.01188472
0.032308,0.908337291,0.01197394
0.0323825,0.907854437,0.01206382
0.0324571,0.907368329,0.0121544
0.0325319,0.906881687,0.01224565
0.0326069,0.906390585,0.01233763
0.0326821,0.905899224,0.01243028
0.0327574,0.905404354,0.01252365
0.0328329,0.904904386,0.01261778
0.0329086,0.904406767,0.01271257
0.0329845,0.903904791,0.01280811
0.0330605,0.903399978,0.01290438
0.0331367,0.902894312,0.01300137
0.0332131,0.902386611,0.0130991
0.0332897,0.901871043,0.01319766
0.0333664,0.901353942,0.01329695
0.0334434,0.900839882,0.01339693
0.0335205,0.900321597,0.0134977
0.0335977,0.89979702,0.0135993
0.0336752,0.899274002,0.01370161
0.0337528,0.898747546,0.01380473
0.0338306,0.898215978,0.01390867
0.0339086,0.897682578,0.0140134
0.0339868,0.897149415,0.01411889
0.0340651,0.896612208,0.01422522
0.0341436,0.896068546,0.01433241
0.0342224,0.895524988,0.01444039
0.0343012,0.894979642,0.01454919
0.0343803,0.894437731,0.01465872
0.0344596,0.893889717,0.01476914
0.034539,0.893324862,0.01488065
0.0346186,0.892782277,0.0149926
0.0346984,0.892204759,0.01510595
0.0347784,0.8916338,0.01522001
0.0348586,0.89109498,0.01533436
0.034939,0.890518708,0.01545018
0.0350195,0.889933016,0.015567
0.0351002,0.889379039,0.01568412
0.0351811,0.888790326,0.0158027
0.0352622,0.888221537,0.01592179
0.0353435,0.887643128,0.01604192
0.035425,0.887044769,0.01616328
0.0355067,0.886451224,0.01628543
0.0355885,0.885870885,0.01640823
0.0356706,0.88527726,0.01653216
0.0357528,0.884678404,0.01665709
0.0358352,0.884091069,0.0167827
0.0359178,0.883459939,0.01691007
0.0360006,0.882874497,0.01703747
0.0360836,0.882263396,0.0171663
0.0361668,0.881661716,0.01729587
0.0362502,0.881027716,0.01742702
0.0363337,0.880430102,0.0175584
0.0364175,0.879801832,0.01769134
0.0365014,0.879187532,0.01782496
0.0365856,0.878531851,0.01796038
0.0366699,0.8779322,0.01809564
0.0367544,0.877265292,0.01823327
0.0368392,0.87665724,0.01837066
0.0369241,0.87601436,0.01850977
0.0370092,0.875367572,0.01864998
0.0370945,0.874727217,0.01879105
0.03718,0.874078409,0.01893333
0.0372658,0.873439616,0.01907641
0.0373517,0.872774017,0.01922112
0.0374378,0.872117184,0.01936667
0.0375241,0.871439972,0.01951372
0.0376106,0.870793832,0.01966114
0.0376973,0.8701092,0.01981049
0.0377842,0.869456056,0.01996019
0.0378713,0.868759429,0.02011198
0.0379586,0.868078502,0.02026449
0.0380461,0.867398487,0.02041808
0.0381338,0.866722239,0.02057268
